property_no,description,debt_amount,event_description,event_datetime
5208810100,Warrnambool,251.96,URGs Application - Successful - FC2019/12447,20/11/2019
5002990400,Timboon,650,URGs Application - Successful - FC2019/12449,20/11/2019
744080550,Hamilton,NULL,URGs Application - Successful,21/11/2019
3202510350,Koroit,585,URGs Application - Successful - FC2019/12676,27/11/2019
9331320950,Portland,650,URGs Application - Successful - FC2019/12677,27/11/2019
2206190150,Camperdown,192.43,URGs Application - Successful - FC2019/12678,27/11/2019
2204610150,Camperdown,302.61,URGs Application - Successful - FC2019/12680,27/11/2019
2202011550,Camperdown,650,URGs Application - Successful - FC2019/12681,27/11/2019
2200491500,Camperdown,650,URGs Application - Successful - FC2019/12683,27/11/2019
5202140800,Warrnambool,650,URGs Application - Successful - FC2020/00136,8/01/2020
5212392350,Warrnambool,650,URGs Application - Successful - FC2020/00139,8/01/2020
9313230750,Portland,650,URGs Application - Successful - FC2020/00141,8/01/2020
3209700250,Koroit,650,URGs Application - Successful - FC2020/00146,8/01/2020
5002990750,Timboon,311.04,URGs Application - Successful - FC2020/00364,14/01/2020
743192050,Hamilton,650,URGs Application - Successful - FC2020/00367,14/01/2020
9330250100,Portland,650,URGs Application - Successful - FC2020/00381,15/01/2020
740960100,Hamilton,650,URGs Application - Successful,22/01/2020
9231310700,Port Fairy,112.34,URGs Application - Successful,22/01/2020
743540400,Hamilton,650,URGs Application - Successful,30/01/2020
4807021400,Terang,NULL,URGs Application - Successful,30/01/2020
5206940500,Warrnambool,NULL,URGs Application - Successful,30/01/2020
5204320400,Warrnambool,650,URGs Application - Successful,30/01/2020
5205977460,Warrnambool,NULL,URGs Application - Successful,6/02/2020
9130480450,Heywood,NULL,URGs Application - Successful,6/02/2020
8107670400,Carpendeit,650,URGs Application - Successful,19/02/2020
5200021546,Warrnambool,528.39,URGs Application - Successful,20/02/2020
5206171950,Warrnambool,650,URGs Application - Successful,19/03/2020
5204310350,Warrnambool,650,URGs Application - Successful,19/03/2020
740401750,Hamilton,650,URGs Application - Successful,19/03/2020
241510550,Casterton,616.77,URGs Application - Successful FC2020/03108,24/03/2020
2202981300,Camperdown,650,URGs Application - Successful FC2020/03111,24/03/2020
2402730650,Naroghid,650,URGs Application - Successful FC2020/03112,24/03/2020
8301560525,Bostocks Creek,NULL,URGs Application - Successful,31/03/2020
5205681050,Warrnambool,549.66,URGs Application - Successful FC2020/03379,31/03/2020
9332702600,Portland,437.83,URGs Application - Successful - FC2020/04253,28/04/2020
9231310700,Port Fairy,179.08,URGs Application - Successful - FC2020/04304,29/04/2020
442872850,Coleraine,463.43,URGs Application - Successful,6/05/2020
5208805220,Dennington,254.94,URGs Application - Successful,6/05/2020
5210730200,Warrnambool,424.44,URGs Application - Successful,6/05/2020
9330760150,Portland,518.72,URGs Application - Successful,6/05/2020
9331000600,Portland,631.76,URGs Application - Successful,6/05/2020
9331301800,Portland,650,URGs Application - Successful,6/05/2020
644210050,Glenthompson,250.73,URGs Application - Successful,13/05/2020
5210291950,Warrnambool,NULL,URGs Application - Successful,13/05/2020
9333001850,Portland,NULL,URGs Application - Successful,13/05/2020
5205090100,Warrnambool,623.03,URGs Application - Successful,20/05/2020
5206151100,Warrnambool,416.45,URGs Application - Successful,20/05/2020
743680400,Hamilton,404.22,URGs Application - Successful,27/05/2020
744670600,Hamilton,325.25,URGs Application - Successful,27/05/2020
841881650,Macarthur,488.44,URGs Application - Successful,27/05/2020
942020250,Merino,650,URGs Application - Successful,27/05/2020
5208381050,Warrnambool,650,URGs Application - Successful,27/05/2020
5210732250,Warrnambool,650,URGs Application - Successful,27/05/2020
3609320530,Mortlake,283.17,URGs Application - Successful,27/05/2020
5211065000,Warrnambool,650,URGs Application - Successful,27/05/2020
4804584200,Terang,650,URGs Application - Successful,27/05/2020
9333740750,Portland,NULL,URGs Application - Successful,28/05/2020
9333740750,Portland,650,URGs Application - Successful - FC2020/05519,2/06/2020
244600400,Casterton,233.83,URGs Application - Successful,3/06/2020
9333672550,Portland,439.13,URGs Application - Successful,3/06/2020
9330220950,Portland,650,URGs Application - Successful,3/06/2020
5214220550,Warrnambool,224.99,URGs Application - Successful,3/06/2020
5213190050,Warrnambool,650,URGs Application - Successful,3/06/2020
5208804370,Warrnambool,598.61,URGs Application - Successful,3/06/2020
5206940180,Warrnambool,638.3,URGs Application - Successful,3/06/2020
2604261400,Caramut,219.76,URGs Application - Successful,4/06/2020
4800623200,Terang,191.34,URGs Application - Successful,4/06/2020
5202701100,Warrnambool,650,URGs Application - Successful,4/06/2020
5200860200,Warrnambool,650,URGs Application - Successful,4/06/2020
5000521250,Timboon,650,URGs Application - Successful,4/06/2020
5204491000,Warrnambool,253.75,URGs Application - Successful,11/06/2020
9333261750,Portland,NULL,URGs Application - Successful,11/06/2020
9132320950,Heywood,650,URGs Application - Successful,11/06/2020
5206952600,Warrnambool,650,URGs Application - Successful,11/06/2020
744711050,Hamilton,468.17,URGs Application - Successful - FC2020/06253,16/06/2020
942440350,Merino,650,URGs Application - Successful - FC2020/06254,16/06/2020
2206190150,Camperdown,376.16,URGs Application - Successful - FC2020/06257,16/06/2020
2206191050,Camperdown,505.87,URGs Application - Successful - FC2020/06258,16/06/2020
3411120600,Lismore,512.53,URGs Application - Successful - FC2020/06260,16/06/2020
4810303150,Terang,650,URGs Application - Successful - FC2020/06261,16/06/2020
8307070150,South Purrumbete,650,URGs Application - Successful - FC2020/06262,16/06/2020
9233730550,Port Fairy,650,URGs Application - Successful - FC2020/06263,16/06/2020
9331301740,Portland,362.5,URGs Application - Successful - FC2020/06265,16/06/2020
5206156460,Warrnambool,352.32,URGs Application - Successful - FC2020/06503,23/06/2020
740670700,Hamilton,650,URGs Application - Successful - FC2020/06505,23/06/2020
5200662300,Warrnambool,650,URGs Application - Successful - FC2020/06507,23/06/2020
5205160600,Dennington,185.05,URGs Application - Successful - FC2020/06511,23/06/2020
5210734150,Warrnambool,650,URGs Application - Successful - FC2020/06513,23/06/2020
9333380950,Portland,650,URGs Application - Successful - FC2020/06515,23/06/2020
3002740100,Cobden,650,URGs Application - Successful - FC2020/07044,30/06/2020
3002310550,Cobden,313.6,URGs Application - Successful - FC2020/07046,30/06/2020
3607941700,Mortlake,650,URGs Application - Successful - FC2020/07049,30/06/2020
5202050050,Warrnambool,459.69,URGs Application - Successful - FC2020/07050,30/06/2020
5211290150,Warrnambool,650,URGs Application - Successful FC2020/07326,7/07/2020
5209010500,Warrnambool,650,URGs Application - Successful FC2020/07327,7/07/2020
742220500,Hamilton,650,URGs Application - Successful - FC2020/07508,13/07/2020
742564000,Hamilton,650,URGs Application - Successful - FC2020/08350,4/08/2020
9231310700,Port Fairy,218.71,URGs Application - Successful - FC2020/08361,4/08/2020
9332790600,Portland,650,URGs Application - Successful - D2020/048920,16/09/2020
240130750,Casterton,481.08,URGs Application - Successful - D2020/048942,16/09/2020
5205160600,Dennington,253.66,URGs Application - Successful - FC2020/11379,7/10/2020
3202524700,Koroit,650,URGs Application - Successful - FC2020/11380,7/10/2020
5207425620,Warrnambool,589.01,URGs Application - Successful - FC2020/11381,7/10/2020
5208805220,Dennington,395.06,URGs Application - Successful - FC2020/11853,19/10/2020
5208060150,Warrnambool,525.09,URGs Application - Successful - FC2020/12474,3/11/2020
741280500,Hamilton,650,URGs Application - Successful - FC2020/12479,3/11/2020
5207473250,Warrnambool,650,URGs Application - Successful,17/11/2020
5204310450,Warrnambool,650,URGs Application - Successful FC2020/13075,17/11/2020
5210732950,Warrnambool,209.67,URGs Application - Successful FC2020/13077,17/11/2020
2204941200,Camperdown,650,URGs Application - Successful FC2020/13426,25/11/2020
5209850050,Warrnambool,650,URGs Application - Successful FC2020/13428,25/11/2020
9330451250,Portland,407.3,URGs Application - Successful FC2020/13435,25/11/2020
243920300,Casterton,650,URGs Application - Successful - FC2020/13846,4/12/2020
3007350950,Cobden,650,URGs Application - Successful (FC2020/13849),4/12/2020
5206150880,Warrnambool,650,URGs Application - Successful (FC2020/13855),4/12/2020
5200420865,Warrnambool,408.85,URGs Application - Successful (FC2020/13860),4/12/2020
5200300750,Warrnambool,582.87,URGs Application - Successful (FC2020/13861),4/12/2020
743601650,Hamilton,650,URGs Application - Successful FC2020/14350,18/12/2020
3607320400,Mortlake,650,URGs Application - Successful - FC2020/14356,18/12/2020
9132320150,Heywood,650,URGs Application - Successful - FC2020/14366,18/12/2020
8107670725,Carpendeit,650,URGs Application - Successful - FC2020/14373,18/12/2020
5206010200,Warrnambool,178.93,URGs Application - Successful FC2020/14419,21/12/2020
142080700,Balmoral,650,URGs Application - Successful - FC2021/00127,8/01/2021
2208450200,Camperdown,41.11,URGs Application - Successful - F2021/00128,8/01/2021
3201000200,Koroit,362.39,URGs Application - Successful - FC2021/00131,8/01/2021
5204170300,Warrnambool,349.92,URGs Application - Successful - FC2021/00132,8/01/2021
244070700,Casterton,650,URGs Application - Successful - FC2021/00195,12/01/2021
3607321450,Mortlake,170.35,URGs Application - Successful,29/01/2021
5207423100,Warrnambool,650,URGs Application - Successful - FC2021/00739,1/02/2021
5200710300,Warrnambool,422.22,URGs Application - Successful - FC2021/01080,9/02/2021
740341200,Hamilton,465.01,URGs Application - Successful - FC2021/01363,16/02/2021
5204961200,Warrnambool,319.95,URGs Application - Successful FC2021/01419,17/02/2021
5202682775,Warrnambool,650,URGs Application - Successful - FC2021/01852,2/03/2021
2006810450,Allansford,650,URGs Application - Successful - FC2021/01857,2/03/2021
5202682775,Warrnambool,NULL,URGs Application - Successful,2/03/2021
9330347550,Portland,650,URGs Application - Successful - FC2021/01861,2/03/2021
4804584000,Terang,650,URGs Application - Successful - FC2021/02690,26/03/2021
5207265700,Warrnambool,556.66,URGs Application - Successful - FC2021/02794,31/03/2021
9231310700,Port Fairy,139.87,URGs Application - Successful - FC2021/02795,31/03/2021
9132322800,Heywood,650,URGs Application - Successful - FC2021/02797,31/03/2021
5214062600,Warrnambool,650,URGs Application - Successful - FC2021/03097,9/04/2021
742970700,Hamilton,285.15,URGs Application - Successful - FC2021/03098,9/04/2021
9233560400,Port Fairy,NULL,URGs Application - Successful,12/04/2021
9233560400,Port Fairy,578.59,URGs Application - Successful - FC2021/03155,12/04/2021
3600922250,Mortlake,650,URGs Application - Successful - FC2021/03177,12/04/2021
5209210950,Warrnambool,333.87,URGs Application - Successful - FC2021/03217,13/04/2021
5214220550,Warrnambool,425.01,URGs Application - Successful - FC2021/03614,23/04/2021
9330341000,Portland,305.99,URGs Application - Successful - FC2021/03620,23/04/2021
9133182100,Heywood,529.94,URGs Application - Successful - FC2021/03797,28/04/2021
2208450200,Camperdown,268.93,URGs Application - Successful - FC2021/03995,4/05/2021
5200441550,Warrnambool,41.86,URGs Application - Successful - FC2021/04188,7/05/2021
2208450200,Camperdown,381.07,URGs Application - Successful - FC2021/04353,12/05/2021
243090400,Casterton,258.59,URGs Application - Successful - FC2021/04654,21/05/2021
9331303340,Portland,597.59,URGs Application - Successful - FC2021/04658,21/05/2021
5210734300,Warrnambool,560.48,URGs Application - Successful - FC2021/04659,21/05/2021
5200660850,Warrnambool,650,URGs Application - Successful - FC2021/04661,21/05/2021
5208080400,Warrnambool,569.52,URGs Application - Successful - FC2021/04784,24/05/2021
9230190150,Port Fairy,367.68,URGs Application - Successful - FC2021/05280,8/06/2021
5207265700,Warrnambool,93.34,URGs Application - Successful - FC2021/05284,8/06/2021
5203900950,Warrnambool,284.55,URGs Application - Successful - FC20221/05695,18/06/2021
2205120700,Camperdown,650,URGs Application - Successful - FC2021/05702,18/06/2021
5204491250,Warrnambool,650,URGs Application - Successful - FC2021/06113,29/06/2021
3009522600,Cobden,650,URGs Application - Successful - FC2021/06968,19/07/2021
3610921825,Mortlake,650,URGs Application - Successful - FC2021/06979,20/07/2021
442870200,Coleraine,650,URGs Application - Successful - FC2021/07332,28/07/2021
3610921825,Mortlake,208.88,URGS Application - Successful - FC2021/07333,28/07/2021
5206171000,Warrnambool,459.21,URGs Application - Successful - FC2021/07337,28/07/2021
9330881900,Portland,650,URGs Application - Successful - FC2021/07422,30/07/2021
5207210100,Warrnambool,521.83,URGs Application - Successful - FC2021/07630,4/08/2021
2202980250,Camperdown,650,URGs Application - Successful - FC2021/07856,10/08/2021
9331910300,Portland,196.29,URGs Application - Successful - FC2021/07857,10/08/2021
9232902740,Port Fairy,376.09,URGs Application - Successful - FC2021/07859,10/08/2021
4806910800,Terang,650,URGs Application - Successful - FC2021/07878,10/08/2021
5204961200,Warrnambool,179.68,URGs Application - Successful - FC2021/08175,17/08/2021
9330300600,Portland,650,URGs Application - Successful - FC2021/08178,17/08/2021
9330733050,Portland,650,URGs Application - Successful - FC2021/08182,17/08/2021
9331440750,Portland,650,URGs Application - Successful - FC2021/08203,18/08/2021
444735100,Coleraine,335.69,URGs Application - Successful - FC2021/08424,25/08/2021
9333091350,Portland,47.69,URGs Application - Successful - FC2021/08425,25/08/2021
5204961200,Warrnambool,150.37,URGs Application - Successful - FC2021/08428,25/08/2021
4810003400,Terang,650,URGs Application - Successful - FC2021/08437,25/08/2021
5206670300,Warrnambool,650,URGs Application - Successful - FC2021/08799,3/09/2021
5207901800,Warrnambool,224.99,URGs Application - Successful - FC2021/08959,8/09/2021
9330500250,Portland,427.68,URGs Application - Successful - FC2021/08960,8/09/2021
5200080900,Warrnambool,482.71,URGs Application - Successful - FC2021/09346,20/09/2021
244072250,Casterton,180.72,URGs Application - Successful - FC2021/09352,20/09/2021
942840100,Merino,216.29,URGs Application - Successful - FC2021/09359,20/09/2021
9332742550,Portland,246.23,URGs Application - Successful - FC2021/09360,20/09/2021
5207210100,Warrnambool,128.17,URGs Application - Successful - FC2021/09411,21/09/2021
9232902740,Port Fairy,162.2,URGs Application - Successful - FC2021/09415,21/09/2021
743560850,Hamilton,574.99,URGs Application - Successful - FC2021/09593 - $574.99,28/09/2021
743740250,Hamilton,650,URGs Application - Successful - FC2021/09595,28/09/2021
244072250,Casterton,175.18,URGs Application - Successful - FC2021/09596 - $175.18,28/09/2021
2202981500,Camperdown,650,URGs Application - Successful - FC2021/09658,30/09/2021
5202050350,Warrnambool,408.81,URGs Application - Successful FC2021/09664 - $408.81,30/09/2021
5202704100,Warrnambool,642.11,URGs Application - Successful - FC2021/09666 - $642.11,30/09/2021
5207901800,Warrnambool,38.42,URGs Application - Successful - FC2021/09667 - $38.42,30/09/2021
5210430600,Warrnambool,90.7,URGs Application - Successful - FC2021/09672 - $90.70,30/09/2021
9332410050,Portland,220.99,URGs Application - Successful - FC2021/09675 - $220.99,30/09/2021
241511090,Casterton,568.63,URGs Application - Successful - FC2021/09947 $568.63,6/10/2021
9330732950,Portland,479.13,URGs Application - Successful - FC2021/09955 $479.13,6/10/2021
9330500250,Portland,150.19,URGs Application - Successful - FC2021/09959 $150.19,6/10/2021
2200060400,Camperdown,650,URGs Application - Successful - FC2021/09970 $650.00,6/10/2021
2206190200,Camperdown,410.15,URGs Application - Successful - FC2021/10010 $410.15,7/10/2021
3605801450,Mortlake,650,URGs Application - Successful - FC2021/10020 $650.00,7/10/2021
4810003200,Terang,650,URGs Application - Successful - FC2021/10024 $650.00,7/10/2021
741620900,Hamilton,650,URGs Application - Successful - FC2021/10263 $650,14/10/2021
741941600,Hamilton,650,URGs Application - Successful - FC2021/10270 $650.00,14/10/2021
5200080795,Warrnambool,179.21,URGs Application - Successful - FC2021/10275 $179.21,14/10/2021
5204460350,Warrnambool,650,URGs Application - Successful - FC2021/10283 $650.00,14/10/2021
5007050100,Timboon,650,URGs Application - Successful - FC2021/10446 $650.00,19/10/2021
5202702750,Warrnambool,111.86,URGs Application - Successful - FC2021/10456 $111.86,19/10/2021
9333100200,Portland,650,URGs Application - Successful - FC2021/10458 $650.00,19/10/2021
9333741300,Portland,650,URGs Application - Successful - FC2021/10460 $650.00,19/10/2021
243900350,Casterton,456.98,URGs Application - Successful - FC2021/10672,26/10/2021
5211270150,Warrnambool,650,URGs Application - Successful - FC2021/10897,2/11/2021
5211550050,Dennington,470.25,URGs Application - Successful FC2021/10896,2/11/2021
2206190200,Camperdown,239.85,URGs Application - Successful - FC2021/10900 $239.85,2/11/2021
5207551800,Warrnambool,463.21,URGs Application - Successful - FC2021/10919 $463.21,2/11/2021
9231871650,Port Fairy,242.43,URGs Application - Successful - FC2021/10924 $242.43,2/11/2021
9032170550,Dartmoor,650,URGs Application - Successful - FC2021/10925 $650.00,2/11/2021
5205977740,Warrnambool,163.97,URGs Application - Successful - FC2021/10929 $163.97,2/11/2021
5202702750,Warrnambool,22.1,URGs Application - Successful - FC2021/10933 $22.10,2/11/2021
9332371600,Portland,650,URGs Application - Successful - FC2021/10934 $650.00,2/11/2021
5208803947,Warrnambool,562.7,URGs Application - Successful - FC2021/11130 $562.70,9/11/2021
744243800,Hamilton,650,URGs Application - Successful - FC2021/11132 $650.00,9/11/2021
5202704050,Warrnambool,319.67,URGs Application - Successful - FC2021/11357,15/11/2021
9230285000,Port Fairy,64.39,URGs Application - Successful - FC2021/11363,15/11/2021
8305500150,Cobden,650,URGs Application - Successful -FC2021/11366,15/11/2021
5205977740,Warrnambool,425.63,URGs Application - Successful - FC2021/11368,15/11/2021
5213190110,Warrnambool,379.8,URGs Application - Successful - FC2021/11377 $379.80,16/11/2021
3609711350,Mortlake,618,URGs Application - Successful - FC2021/11392 $618.00,16/11/2021
741452750,Hamilton,650,URGs Application - Successful - FC2021/11394 $650.00,16/11/2021
742540600,Hamilton,169.91,URGS Application Successful Letter FC2021/11752,25/11/2021
5210733700,Warrnambool,161.03,URGS Application Successful Letter FC2021/11769,25/11/2021
4810250600,Terang,163.4,URGS Application Successful Letter FC2021/11770,25/11/2021
9132450650,Heywood,650,URGS Application Successful Letter FC2021/11775,25/11/2021
5207271400,Warrnambool,629.98,URGS Application Successful Letter D2021/061065,8/12/2021
5210733700,Warrnambool,185.66,URGS Application Successful Letter FC2021/12337 $185.66,10/12/2021
5200441550,Warrnambool,127.24,URGS Application Successful Letter FC2021/12340 $127.24,10/12/2021
9330347950,Portland,650,URGS Application Successful Letter FC2021/12344 $650.00,10/12/2021
9331340500,Portland,650,URGS Application Successful Letter FC2021/12514 $650.00,15/12/2021
5200080795,Warrnambool,26.6,URGS Application Successful Letter FC2021/12517 $26.60,15/12/2021
3609320500,Mortlake,173.78,URGS Application Successful Letter FC2021/12518 $173.78,15/12/2021
3600922725,Mortlake,650,URGS Application Successful Letter FC2021/12519 $650.00,15/12/2021
3002793850,Cobden,650,URGS Application Successful Letter FC2021/12614 $650.00,16/12/2021
5200311600,Warrnambool,518.41,URGS Application Successful Letter - FC2021/12814,22/12/2021
243170750,Casterton,394.8,URGS Application Successful Letter FC2022/00121 $394.80,10/01/2022
9333100750,Portland,81.53,URGS Application Successful Letter D2022/00122,10/01/2022
5211730400,Dennington,173.19,URGS Application Successful Letter FC2022/00123,10/01/2022
5211450330,Warrnambool,202,URGS Application Successful Letter FC2022/00126,10/01/2022
5206020300,Warrnambool,167.22,URGS Application Successful Letter FC2022/00127,10/01/2022
5206020300,Warrnambool,167.22,URGS Application Successful Letter FC2022/00128 $167.22,10/01/2022
5204320100,Warrnambool,50.95,URGS Application Successful Letter FC2022/00134,10/01/2022
9330461050,Portland,175.24,URGS Application Successful Letter - FC2022/00135,10/01/2022
5209490750,Warrnambool,181.66,URGS Application Successful Letter - FC2022/00339,18/01/2022
5211720450,Dennington,650,URGS Application Successful Letter - FC2022/00341,18/01/2022
441961100,Coleraine,245.19,URGS Application Successful Letter - FC2022/00343,18/01/2022
5209490750,Warrnambool,169.32,URGS Application Successful Letter FC2022/00666 $169.32,28/01/2022
5202050050,Warrnambool,190.31,URGS Application Successful Letter FC2022/00668 $190.31,28/01/2022
5208803947,Warrnambool,87.3,URGS Application Successful Letter - FC2022/00856,3/02/2022
9331330100,Portland,630.92,URGS Application Successful Letter - FC2022/01114,9/02/2022
243430200,Casterton,376.41,URGS Application Successful Letter - FC2022/01116,9/02/2022
3411121650,Lismore,650,URGS Application Successful Letter FC2022/01236 650.00,14/02/2022
5211050250,Warrnambool,650,URGS Application Successful Letter FC2022/01242 $650.00,14/02/2022
4810250600,Terang,181.15,URGS Application Successful Letter - FC2022/01313,16/02/2022
5200080795,Warrnambool,40.08,URGS Application Successful Letter FC2022/01325,16/02/2022
5208804220,Warrnambool,650,URGS Application Successful Letter - FC2022/01329,16/02/2022
9331910300,Portland,380.27,URGS Application Successful Letter - FC2022/01591,22/02/2022
9332371100,Portland,650,URGS Application Successful Letter - FC2022/01634,23/02/2022
3607540700,Mortlake,439.49,URGS Application Successful Letter FC2022/01639,23/02/2022
5201380250,Warrnambool,173.67,URGS Application Successful Letter - FC2022/01787,1/03/2022
9331301020,Portland,507.26,URGS Application Successful Letter - FC2022/01799,1/03/2022
5200441550,Warrnambool,245.11,URGS Application Successful Letter - FC2022/01805,1/03/2022
8107670350,South Purrumbete,650,URGS Application Successful Letter - FC2022/01806,1/03/2022
5210734450,Warrnambool,436.38,URGS Application Successful Letter - FC2022/01810,1/03/2022
242991850,Casterton,203.55,URGS Application Successful Letter - FC2022/02152,9/03/2022
2006810450,Allansford,338.88,URGS Application Successful Letter - FC2022/02159,9/03/2022
5211130150,Warrnambool,650,URGS Application Successful Letter - FC2022/02226,11/03/2022
3605801850,Mortlake,377.47,URGS Application Successful Letter D2021/061065 - FC2022/02449,18/03/2022
5202140650,Warrnambool,485.33,URGS Application Successful Letter - FC2022/02455,18/03/2022
5202140800,Warrnambool,260.26,URGS Application Successful Letter - FC2022/02457,18/03/2022
5203910800,Warrnambool,650,URGS Application Successful Letter - FC2022/02557,22/03/2022
5203302050,Warrnambool,650,URGS Application Successful Letter - FC2022/02566,22/03/2022
5205532000,Warrnambool,601.75,URGS Application Successful Letter - FC2022/02786,29/03/2022
5204381250,Warrnambool,169.61,URGS Application Successful Letter - FC2022/02790,29/03/2022
5206170850,Warrnambool,650,URGS Application Successful Letter - FC2022/02791,29/03/2022
5207424050,Warrnambool,437.37,URGS Application Successful Letter - FC2022/02803,29/03/2022
5207900750,Warrnambool,650,URGS Application Successful Letter - FC2022/02812,29/03/2022
9330632400,Portland,650,URGS Application Successful Letter - FC2022/02845,30/03/2022
5209180200,Warrnambool,565.1,URGS Application Successful Letter - FC2022/03169,8/04/2022
5211050350,Warrnambool,392.69,URGS Application Successful Letter - FC2022/03173,8/04/2022
5211730400,Dennington,291.28,URGS Application Successful Letter - FC2022/03174,8/04/2022
9230285000,Port Fairy,22.84,URGS Application Successful Letter - FC2022/03177,8/04/2022
9232982550,Port Fairy,136.14,URGS Application Successful Letter - FC2022/03179,8/04/2022
743680050,Hamilton,162.72,URGS Application Successful Letter - FC2022/03316,12/04/2022
743811900,Hamilton,468.45,URGS Application Successful Letter - FC2022/03317,12/04/2022
2004500450,Allansford,517.09,URGS Application Successful Letter - FC2022/03321,12/04/2022
3205451150,Koroit,126.1,URGS Application Successful Letter - FC2022/03335,13/04/2022
5206020300,Warrnambool,177.47,URGS Application Successful Letter - FC2022/03336,13/04/2022
5206951200,Warrnambool,650,URGS Application Successful Letter - FC2022/03337,13/04/2022
5209260100,Warrnambool,468.76,URGS Application Successful Letter - FC2022/03338,13/04/2022
5209260850,Warrnambool,650,URGS Application Successful Letter - FC2022/03342,13/04/2022
5210041400,Warrnambool,192.91,URGS Application Successful Letter - FC2022/03348,13/04/2022
5210732550,Warrnambool,650,URGS Application Successful Letter - FC2022/03350,13/04/2022
5210734650,Warrnambool,490.19,URGS Application Successful Letter - FC2022/03362,13/04/2022
9330250100,Portland,650,URGS Application Successful Letter - FC2022/03365,13/04/2022
5211065995,Warrnambool,490.08,URGS Application Successful Letter - FC2022/03374,13/04/2022
5206171950,Warrnambool,650,URGS Application Successful Letter - FC2022/03398 - $650.00,13/04/2022
9231310700,Port Fairy,239.33,URGS Application Successful Letter FC2022/03400 - $239.33,13/04/2022
2207170050,Camperdown,650,URGS Application Successful Letter - FC2022/03746,26/04/2022
2201013650,Camperdown,650,URGS Application Successful Letter - FC2022/03771,27/04/2022
2202980800,Camperdown,650,URGS Application Successful Letter - FC2022/03775,27/04/2022
5200680600,Warrnambool,158.4,URGS Application Successful Letter FC2022/03814,27/04/2022
4810250600,Terang,171.1,URGS Application Successful Letter FC2022/03816,27/04/2022
743815750,Hamilton,650,URGS Application Successful Letter - FC2022/03875,29/04/2022
3207310400,Koroit,650,URGS Application Successful Letter - FC2022/03876,29/04/2022
5208330150,Warrnambool,268.27,URGS Application Successful Letter - FC2022/03902,29/04/2022
3605800800,Mortlake,650,URGS Application Successful Letter - FC2022/03917,2/05/2022
5204310650,Warrnambool,650,URGS Application Successful Letter - FC2022/03922,2/05/2022
5211450330,Warrnambool,210.24,URGS Application Successful Letter - FC2022/03931,2/05/2022
740141340,Hamilton,350.84,URGS Application Successful Letter - FC2022/03987,3/05/2022
740970700,Hamilton,261.15,URGS Application Successful Letter - FC2022/03988,3/05/2022
741890850,Hamilton,650,URGS Application Successful Letter - FC2022/03995,3/05/2022
742320800,Hamilton,650,URGS Application Successful Letter - FC2022/03998,3/05/2022
5201041800,Warrnambool,471.57,URGS Application Successful Letter - FC2022/04000,3/05/2022
4804584800,Terang,376.4,URGS Application Successful Letter - FC2022/04002,3/05/2022
740970800,Hamilton,650,URGS Application Successful Letter - FC2022/04003,3/05/2022
5206172300,Warrnambool,367.35,URGS Application Successful Letter - FC2022/04004,3/05/2022
5209022200,Dennington,NULL,URGS Application Successful Letter,3/05/2022
5209022200,Dennington,368.96,URGS Application Successful Letter - FC2022/04078,4/05/2022
5209260100,Warrnambool,181.24,URGS Application Successful Letter - FC2022/04080,4/05/2022
9330510600,Portland,207.17,URGS Application Successful Letter - FC2022/04184,6/05/2022
741040850,Hamilton,650,URGS Application Successful Letter - FC2022/04331,10/05/2022
744630850,Hamilton,650,URGS Application Successful Letter - FC2022/04341,10/05/2022
2202981300,Camperdown,650,URGS Application Successful Letter - FC2022/04344,10/05/2022
5200950500,Warrnambool,650,URGS Application Successful Letter - FC2022/04346,10/05/2022
5200952700,Warrnambool,271.61,URGS Application Successful Letter - FC2022/04347,10/05/2022
5202140700,Warrnambool,650,URGS Application Successful Letter - FC2022/04360,10/05/2022
740401750,Hamilton,650,URGS Application Successful Letter - FC2022/04387,11/05/2022
5209650050,Warrnambool,524,URGS Application Successful Letter - FC2022/04390,11/05/2022
3603401275,Mortlake,621.16,URGS Application Successful Letter - FC2022/04391,11/05/2022
5203601950,Warrnambool,555.59,URGS Application Successful Letter - FC2022/04398,11/05/2022
5211050950,Warrnambool,650,URGS Application Successful Letter - FC2022/04417,11/05/2022
5204170350,Warrnambool,650,URGS Application Successful Letter - FC2022/04420,11/05/2022
9231311200,Port Fairy,650,URGS Application Successful Letter - FC2022/04628,17/05/2022
2211170250,Camperdown,221.11,URGS Application Successful Letter - FC2022/04637,17/05/2022
5201220100,Warrnambool,507.88,URGS Application Successful Letter - FC2022/04694,18/05/2022
5204960850,Warrnambool,650,URGS Application Successful Letter - FC2022/04697,18/05/2022
5210731600,Warrnambool,281.56,URGS Application Successful Letter - FC2022/04790,20/05/2022
9330732950,Portland,170.87,URGS Application Successful Letter - FC2022/04814,23/05/2022
9331850400,Portland,602.2,URGS Application Successful Letter - FC2022/04820,23/05/2022
5207740600,Warrnambool,427.86,URGS Application Successful Letter - FC2022/04821,23/05/2022
3600980400,Mortlake,264.9,URGS Application Successful Letter - FC2022/04962,25/05/2022
5202140300,Warrnambool,595.07,URGS Application Successful Letter - FC2022/04968,25/05/2022
5203903050,Warrnambool,137.77,URGS Application Successful Letter - FC2022/05053,26/05/2022
740970200,Hamilton,650,URGS Application Successful Letter- FC2022/05426,3/06/2022
5206830100,Warrnambool,208.34,URGS Application Successful Letter - FC2022/05431,3/06/2022
